,Author,Title,State,District,DateBan,Country,Description
2464,"Whitcomb, Laura",A Certain Slant of Light,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
2465,"White, Kiersten",And I Darken (The Conqueror's Saga Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2466,"White, Kiersten",The Dark Descent of Elizabeth Frankenstein,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned in Libraries
2467,"Whitlock, Kay","Considering Hate: Violence, Goodness, and Justice in American Culture and Politics",Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2468,"Whittemore, Jo","Lights, Music, Code! (Girls Who Code Series)",Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2469,"Wiesel, Elie",Night,North Carolina,Pitt County Schools,2021-11-01,USA,Banned in Classrooms
2470,"Wiesel, Elie",Night,Texas,Katy Independent School District,2022-01-01,USA,Banned Pending Investigation
2471,"Wilke, Daria",Playing a Part,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2472,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2473,"Wilkinson, Lili",Pink,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2474,"Willems, Mo",Because,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2475,"Willhoite, Michael",Daddy's Roommate,Florida,Walton County School District,2022-04-01,USA,Banned Pending Investigation
2476,"Williams, David",The Boy in the Dress,Florida,Sarasota County School,2021-10-01,USA,Banned in Libraries
2477,"Williams, Karen Lynn","Four Feet, Two Sandals",Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2478,"Williamson, Lisa",The Art of Being Normal,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2479,"Wilson, August",Fences,Kansas,Goddard Public Schools,2021-11-01,USA,Banned Pending Investigation
2480,"Wilson, Jamia",Young Gifted and Black: Meet 52 Black Heroes from Past and Present,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2481,"Wilson, Lakita",What Is Black Lives Matter? (What was...? Series),Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
2482,"Wilson, Martin",We Now Return to Regular Life,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2483,"Wilson, Martin",What They Always Tell Us,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2484,"Wilson, Martin",What They Always Tell Us,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2485,"Wind, Lee","No Way, They Were Gay?: Hidden Lives and Secret Loves",Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2486,"Winfield, Cynthia L.",Gender Identity: The Ultimate Teen Guide,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2487,"Winter, Jonah",Roberto Clemente: Pride of the Pittsburgh Pirates,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2488,"Winter, Jonah",Sonia Sotomayor: A Judge Grows in the Bronx/La juez que creció en el Bronx,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2489,"Winters, Julian",The Summer of Everything,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2490,"Wittlinger, Ellen",Parrotfish,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2491,"Wittlinger, Ellen",Saturdays with Hitchcock,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2492,"Witton, Hannah",Doing It!: Let's Talk About Sex,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
2493,"Witton, Hannah",Doing It!: Let's Talk About Sex,Florida,Walton County School District,2022-04-01,USA,Banned Pending Investigation
2494,"Witton, Hannah",Doing It!: Let's Talk About Sex,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2495,"Woods, Brenda",My Name Is Sally Little Song,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2496,"Woods, Sara",Identifying as Transgender,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2497,"Woodson, Jacqueline",Before the Ever After,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2498,"Woodson, Jacqueline",Beneath a Meth Moon: An Elegy,Florida,Lee County Schools,2022-05-01,USA,Banned in Libraries
2499,"Woodson, Jacqueline",Brown Girl Dreaming,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2500,"Woodson, Jacqueline",Each Kindness,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2501,"Woodson, Jacqueline",El Día En Que Descubres Quién Eres,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2502,"Woodson, Jacqueline",Red at the Bone,Texas,Leander Independent School District,2021-09-01,USA,Banned in Classrooms
2503,"Woodson, Jacqueline",Red at the Bone,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2504,"Woodson, Jacqueline",The Day You Begin,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2505,"Woodson, Jacqueline",The Dear One,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2506,"Woodson, Jacqueline",The House You Pass on the Way,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2507,"Woodson, Jacqueline",The House You Pass on the Way,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2508,"Woodson, Jacqueline",The Other Side,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2509,"World Book, Inc.",Understanding Sexuality,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
2510,"Worth, Richard","Life at School and in the Community (Teens: Being Gay, Lesbian, Bisexual, or Transgender)",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2511,"Worthington, Michelle",Noah Chases the Wind,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
